"timestamp","ip","mac","iface","note","is_spoof"2025-10-24T04:42:10.104507,172.19.65.1,16:d8:e4:80:e8:43,en0,,0
2025-10-24T04:42:33.758387,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:33.860424,0.0.0.0,ac:d1:b8:d8:26:35,en0,,0
2025-10-24T04:42:34.067247,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:34.270683,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:34.474990,0.0.0.0,34:7d:f6:ed:4d:88,en0,,0
2025-10-24T04:42:34.577411,172.19.65.231,3e:b9:f1:d4:2a:d4,en0,,0
2025-10-24T04:42:34.678982,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:34.781426,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:34.781730,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:34.886105,0.0.0.0,ac:d1:b8:d8:26:35,en0,,0
2025-10-24T04:42:34.989047,172.19.72.214,86:af:d3:59:2a:94,en0,,0
2025-10-24T04:42:35.088788,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:35.294323,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:35.396288,0.0.0.0,34:7d:f6:ed:4d:88,en0,,0
2025-10-24T04:42:35.500289,172.19.67.250,72:4c:83:3a:2a:3a,en0,,0
2025-10-24T04:42:35.500939,172.19.65.103,1e:ec:0e:d4:be:d3,en0,,0
2025-10-24T04:42:35.703138,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:35.807443,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:35.907502,0.0.0.0,ac:d1:b8:d8:26:35,en0,,0
2025-10-24T04:42:35.907823,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:36.009917,172.19.64.1,ae:ed:32:41:dc:00,en0,,0
2025-10-24T04:42:36.010540,172.19.68.6,c6:53:99:90:5d:0a,en0,,0
